TRANSACTION_ID,TRANSACTION_LINE_ID,STORE_ID,SKU,SALE_PRICE_EX_VAT,REVENUE,QTY,DISCOUNT
127885939,451999221,53,63147,1.6583000000,1.6583,1.0000,0.0000
125317295,444307246,164,36220,17.2425000000,17.2425,1.0000,1.9158
127010310,449462605,176,42412,7.7846000000,7.7846,1.0000,1.3738
126526942,447969695,18,52139,7.7846000000,7.7846,1.0000,1.3738
126456323,447857872,117,54441,27.7425000000,27.7425,1.0000,3.0825
126465840,447876674,175,63418,1.7900000000,1.7900,1.0000,0.0000
126465840,447876672,175,63413,1.3425000000,1.3425,1.0000,0.4475
126464450,447892501,21,52812,6.7915000000,6.7915,1.0000,1.1985
126396471,447627251,6,66473,16.9929000000,16.9929,1.0000,2.9988
127219874,450098014,130,48357,7.0833000000,7.0833,1.0000,1.2417
127216161,450059920,196,55004,6.6666500000,13.3333,2.0000,1.6500
127231261,450080155,167,62955,0.7875000000,0.7875,1.0000,0.7875
125608193,445271115,77,20642,1.3250000000,1.3250,1.0000,0.7583
126266069,447208711,156,63612,0.0000000000,0.0000,1.0000,0.8333
126277204,447248383,37,52265,7.7846000000,7.7846,1.0000,1.3738
126620751,448321181,131,56440,6.6583000000,6.6583,1.0000,0.0000
126469146,447889586,12,65598,0.0000000000,0.0000,1.0000,0.0000
125607178,445254308,6,16223,11.2417000000,11.2417,1.0000,0.0000
125606499,445253410,153,56400,1.6667326733,0.8417,0.5050,0.0000
125370875,444458154,217,65597,0.0000000000,0.0000,1.0000,0.0000
126816394,448956576,10,52777,2.4917000000,2.4917,1.0000,0.0000
125472777,444792148,209,54690,0.2500000000,0.2500,1.0000,0.0000
127604542,451181597,94,65786,4.0410000000,4.0410,1.0000,0.4490
125359406,444450388,150,51374,13.4513000000,13.4513,1.0000,2.3738
126518687,448018255,11,16209,12.4917000000,12.4917,1.0000,0.0000
126524146,447968348,177,51075,3.2417000000,3.2417,1.0000,0.0000
125391791,444558204,202,65597,0.0000000000,0.0000,1.0000,0.0000
126029918,446474190,212,62518,0.8250000000,0.8250,1.0000,0.0000
125567935,445119394,192,25391,1.9920000000,1.9920,1.0000,0.4980
125712024,445535111,197,42066,1.4542000000,1.4542,1.0000,1.4542
125442987,444726436,173,46571,7.9167000000,7.9167,1.0000,1.2417
125764706,445817793,56,36220,14.5833000000,14.5833,1.0000,4.5750
125471006,444848927,53,50062,10.4167000000,10.4167,1.0000,4.1583
125475397,444829973,64,65145,0.8333000000,0.8333,1.0000,0.2083
